UID,URL,Name,Score,image,gender
10010692,https://data.fei.org/Person/Performance.aspx?p=DC516D0D3464372EA8EB884527F80455,Giulia Martinengo Marquet,1380,True,Female
10011406,https://data.fei.org/Person/Performance.aspx?p=F0BD5CFB450C51EE9ED0726325423D07,Cian O'Connor,1380,True,Male
10002774,https://data.fei.org/Person/Performance.aspx?p=59A77873E62EE0EBF010B3E5BE0A89BF,Sharn Wordley,1375,True,Male
10092840,https://data.fei.org/Person/Performance.aspx?p=7EB57B80E43718275A6A6311F2A124D9,Harm Lahde,1375,True,Male
10093218,https://data.fei.org/Person/Performance.aspx?p=DA9FA305ECAEC13E3F4EFC98D22B63C8,Lucy Deslauriers,1370,True,Female
10011444,https://data.fei.org/Person/Performance.aspx?p=215A3E8F8B0D340037E542A71298120A,Billy Twomey,1369,True,Male
10048555,https://data.fei.org/Person/Performance.aspx?p=7FDB1D6495F357A51E40E6000284373E,Kevin Jochems,1365,True,Male
10006451,https://data.fei.org/Person/Performance.aspx?p=621738C350861B926E0B3B64CCC864BF,Felix Hassmann,1358,True,Male
10008941,https://data.fei.org/Person/Performance.aspx?p=3A6FFB1B42030D67DCEC7D33992C94F5,Paolo Paini,1355,True,Male
10035421,https://data.fei.org/Person/Performance.aspx?p=FE304A7D9E044F2CBD6D5B96ED45F72F,Michael Duffy,1355,True,Male
10097879,https://data.fei.org/Person/Performance.aspx?p=775036DB24CD01495F33FBE728207D8C,Harry Charles,1350,True,Male
10009145,https://data.fei.org/Person/Performance.aspx?p=ACE92B94B83AC97884942089CD6819D1,Thierry Rozier,1345,True,Male
10016401,https://data.fei.org/Person/Performance.aspx?p=1470A25DAA4A4F48F4BFED95F8F665AD,Piergiorgio Bucci,1345,True,Male
10011416,https://data.fei.org/Person/Performance.aspx?p=CEA74C4ADD0CCF1CA64787985DD078C9,Luis Sabino Gonçalves,1344,True,Male
10078610,https://data.fei.org/Person/Performance.aspx?p=4B4EE9017301F62B7851993BA7F837CC,Sydney Shulman,1338,True,Female
10081898,https://data.fei.org/Person/Performance.aspx?p=C9F2A0AF215E05DF5D1696369962B25B,Andrzej Oplatek,1335,True,Male
10002947,https://data.fei.org/Person/Performance.aspx?p=E6A1E1D9E3B37DFEFD139192FF03CB67,Todd Minikus,1335,True,Male
10001133,https://data.fei.org/Person/Performance.aspx?p=A4360F32A5B90463AA1A5D34E877969,Dominique Hendrickx,1335,True,Male
10009012,https://data.fei.org/Person/Performance.aspx?p=17D00C7AD0122611FB099D2E113E659C,Alex Granato,1325,True,Male
10018992,https://data.fei.org/Person/Performance.aspx?p=893C2EB9AEAEAF66CB0D3C564CD8B6F7,Matthew Sampson,1320,True,Male
10071490,https://data.fei.org/Person/Performance.aspx?p=C852A4B7D0C561B63628E8E1DEEB1D0B,Zoe Conter,1310,True,Female
10000382,https://data.fei.org/Person/Performance.aspx?p=429C30498BDB6FAF8975FE7A2BFA6FDA,Eric Van Der Vleuten,1308,True,Male
10073507,https://data.fei.org/Person/Performance.aspx?p=CA568AC4CF82BEC573B5493E0E4F41C7,Gilles Thomas,1303,True,Male
10030381,https://data.fei.org/Person/Performance.aspx?p=894C0F552A59E98295B4C54C6DDEFB8C,Harold Boisset,1295,True,Male
10046020,https://data.fei.org/Person/Performance.aspx?p=4624E92EEDAA57D595E1E1D91D6C4312,Manuel Gonzalez Dufrane,1295,True,Male
10006862,https://data.fei.org/Person/Performance.aspx?p=29A538388FDBEAB77994417203E97E18,Omer Karaevli,1288,True,Male
10000483,https://data.fei.org/Person/Performance.aspx?p=6489D6826E6F832912570AF305C1C264,Carlos Enrique Lopez Lizarazo,1283,True,Male
10106264,https://data.fei.org/Person/Performance.aspx?p=464B094BECF28AB577C1CD9221960160,Thibeau Spits,1278,True,Male
10002031,https://data.fei.org/Person/Performance.aspx?p=DAC16137134992E1848CA556060F90A7,Lorenza O'Farrill,1265,True,Female
10001596,https://data.fei.org/Person/Performance.aspx?p=34841FF12D9C6118FB44088B6F96C4B7,Henk Van De Pol,1263,True,Male
10000446,https://data.fei.org/Person/Performance.aspx?p=EF702F83E1C5E39ED7D95253F1A5A66,Federico Fernandez,1260,True,Male
10004186,https://data.fei.org/Person/Performance.aspx?p=BC69908B660AA6AA03CCC09A2146B627,Fredrik Jönsson,1254,True,Male
10000462,https://data.fei.org/Person/Performance.aspx?p=42891929C6652350574141DB976345B9,William Funnell,1253,True,Male
10025845,https://data.fei.org/Person/Performance.aspx?p=84A15C5A7B1A6A001B5B798EB2598840,Maurice Tebbel,1245,True,Male
10026378,https://data.fei.org/Person/Performance.aspx?p=4787874F12C564B22F3BB608CDDD51B0,Thiago Ribas Da Costa,1245,True,Male
10069716,https://data.fei.org/Person/Performance.aspx?p=AA828F61C23AB0987EA0C89DCCB9A37E,Abigail Mc Ardle,1238,True,Female
10037009,https://data.fei.org/Person/Performance.aspx?p=17A409852AB3ABE8BE8FEAA48D4B1D30,Ali Wolff,1235,True,Female
10042040,https://data.fei.org/Person/Performance.aspx?p=A6A6A671993471358F4DD9E37D13C23D,Chad Fellows,1230,True,Male
10000724,https://data.fei.org/Person/Performance.aspx?p=273888A1DEB1EC9D7B9C44218888CE73,Angelie Von Essen,1223,True,Female
10012371,https://data.fei.org/Person/Performance.aspx?p=92EB80B2E291FC0EC9EBC32896DB4C24,José María (Jr) Larocca,1223,True,Male
10015476,https://data.fei.org/Person/Performance.aspx?p=36335D0F6573427C72B0CFA988BF3504,Alberto Sanchez - Cozar,1214,True,Male
10012188,https://data.fei.org/Person/Performance.aspx?p=97AC0F386ABA2D2B5CB7F3685AF3537C,Guillaume Foutrier,1210,True,Male
10000705,https://data.fei.org/Person/Performance.aspx?p=8B67BD2B63F55F848AAD2565B72290E,Andreas Schou,1210,True,Male
10000457,https://data.fei.org/Person/Performance.aspx?p=769D3DFCECCECCDE4E43B6FED64F248A,Nicole Shahinian-Simpson,1210,True,Female
10003072,https://data.fei.org/Person/Performance.aspx?p=84EDCA8F41831DD516515C58C62F173C,Werner Muff,1205,True,Male
10017385,https://data.fei.org/Person/Performance.aspx?p=FC6A526362F788ADDFCB0DD0C100E39A,William Whitaker,1203,True,Male
10010654,https://data.fei.org/Person/Performance.aspx?p=EFAC24A0D23FD152AA5BE1D863E9F3CC,Dani G. Waldman,1201,True,Female
10011565,https://data.fei.org/Person/Performance.aspx?p=F9683480778FA062EF154C71AC0C9C81,Alain Jufer,1200,True,Male
10000427,https://data.fei.org/Person/Performance.aspx?p=5CE605A09FEAFB0C3A2A8A41BD689A00,Rolf-Göran Bengtsson,1200,True,Male
10002620,https://data.fei.org/Person/Performance.aspx?p=298367F8C7E9120CFF656D68635B5F6F,Richard Fellers,1195,True,Male
10002378,https://data.fei.org/Person/Performance.aspx?p=75B5C97DC9AA7FC52C40818819BB1F18,Nicolas Deseuzes,1190,True,Male
10075553,https://data.fei.org/Person/Performance.aspx?p=2032510FEDDC0058B35AE37D129C2A92,Michael G Duffy,1190,True,Male
10001741,https://data.fei.org/Person/Performance.aspx?p=8DB63DB4E4A9B6544D4A35BD535153DC,Jerome Hurel,1185,True,Male
10021488,https://data.fei.org/Person/Performance.aspx?p=CE713DE0646480E9822EE4ED36BDACD1,Peter Moloney,1185,True,Male
10011454,https://data.fei.org/Person/Performance.aspx?p=21943AB7E267A49C87C6FE92CF0E643E,Michel Hecart,1170,True,Male
10071863,https://data.fei.org/Person/Performance.aspx?p=554793CBB53F08D74899342F18072412,Kim Emmen,1168,True,Female
10000450,https://data.fei.org/Person/Performance.aspx?p=C618634B343F8A6CD6B9019884F252D,Molly Ashe Cawley,1165,True,Female
10031652,https://data.fei.org/Person/Performance.aspx?p=DB175C3D2BD4672F8B73AFB98AE9E4F9,Pedro Junqueira Muylaert,1165,True,Male
10020623,https://data.fei.org/Person/Performance.aspx?p=A1240C45BBF937241CDC4052F8D1191A,Scott Keach,1163,True,Male
10026630,https://data.fei.org/Person/Performance.aspx?p=97982D468C1A55C2763AE34AD0DCF91F,Bliss Heers,1160,True,Female
10016390,https://data.fei.org/Person/Performance.aspx?p=C4D14967B8699C4FC131E0C927F7A5F9,Michel Robert,1160,True,Male
10016400,https://data.fei.org/Person/Performance.aspx?p=4693E8C904F5A7C48AE3B1A034059564,Paul Estermann,1153,True,Male
10006866,https://data.fei.org/Person/Performance.aspx?p=AC56399BC43A22D78095F3DB9DFA9A72,Jaroslaw Skrzyczynski,1150,True,Male
10000449,https://data.fei.org/Person/Performance.aspx?p=AA78C084839F72673EB700AC36F86026,Edwina Tops-Alexander,1148,True,Female
10028856,https://data.fei.org/Person/Performance.aspx?p=FC2B0A9060B3D92DB7240D66C0E5FF93,Julien Anquetin,1148,True,Male
10009790,https://data.fei.org/Person/Performance.aspx?p=2BAC28FAFAB8C6BE712DF079320F7B25,Ramzy Al Duhami,1146,True,Male
10000537,https://data.fei.org/Person/Performance.aspx?p=28EF915425B61A9B81DEC8A8DB1D2F63,Antonio Maurer,1145,True,Male
10002549,https://data.fei.org/Person/Performance.aspx?p=6EFA57B78D491425186D7850B513EC2E,Philippe Rozier,1143,True,Male
10000435,https://data.fei.org/Person/Performance.aspx?p=D304A4FA612C7A60CC952CAA4CAB016B,Rodrigo De Paula Pessoa,1140,True,Male
10006817,https://data.fei.org/Person/Performance.aspx?p=78FE348DA7B8E6F4A6961C8CB897155E,Karel Cox,1140,True,Male
10062559,https://data.fei.org/Person/Performance.aspx?p=7C8916E8C02A9D585BD65E684BEF8328,Johan-Sebastian Gulliksen,1140,True,Male
