,Unnamed: 0,Foundername,ProfileURL,Inflation adjusted Amount,UID,image,gender,race,api,black,hispanic,white
3122,3324, David Wiener,https://www.crunchbase.com/person/david-wiener,14944725.390095932,1377626433830367692,True,Male,white,0.0030909039,0.04919147,0.015675228,0.9320424
3123,3325, Joe Fernandez,https://www.crunchbase.com/person/joe-fernandez,14942671.674728787,5041547640459940994,True,Male,hispanic,0.021943819,0.007819256,0.77940696,0.19082999
3124,3326, Waynn Lue,https://www.crunchbase.com/person/waynn-lue,14942671.674728787,6328041074021865852,True,Male,white,0.0030175936,0.112616636,0.02113579,0.86322993
3125,3328, Suat Gedikli,https://www.crunchbase.com/person/suat-gedikli,14919690.246236842,8214967671453965253,True,Male,white,0.01962543,0.006217925,0.01814567,0.95601094
3126,3329, Ryan Kottenstette,https://www.crunchbase.com/person/ryan-kottenstette,14919690.246236842,8623580552737408517,True,Male,white,0.0038387855,0.06887007,0.010775754,0.9165154
3127,3330, Sanjiv Singh,https://www.crunchbase.com/person/sanjiv-singh-af8f,14918869.152592095,1445587050279276572,True,Male,api,0.9272714,0.006098807,0.00800211,0.058627747
3128,3331, Estuardo Aguilar-Cordova,https://www.crunchbase.com/person/estuardo-aguilar-cordova,14915055.420249518,7028099093742648731,True,Male,hispanic,0.072691835,0.005395061,0.7753123,0.14660081
3129,3332, Steve Polsky,https://www.crunchbase.com/person/steve-polsky,14915055.420249518,6995882465049399235,True,Male,white,0.0004121009,0.0017251448,0.005669364,0.9921934
3130,3333, Assaf Wand,https://www.crunchbase.com/person/assaf-wand,14914808.310414527,1607275296126122768,True,Male,white,0.0114095975,0.06968374,0.012089908,0.9068167
3131,3334, Eyal Navon,https://www.crunchbase.com/person/eyal-navon,14914808.310414527,7279700698903482769,True,Male,white,0.156347,0.03600213,0.04728514,0.76036566
3132,3335, Jamie Hale,https://www.crunchbase.com/person/jamie-hale,14896483.251906065,1484751105029509791,True,Male,white,0.005475905,0.14254075,0.024507815,0.82747555
3133,3336, Clément Stenac,https://www.crunchbase.com/person/clment-stenac,14896483.251906065,8763729483560509932,True,Male,white,0.0030420048,0.025866406,0.021183185,0.94990844
3134,3337, Florian Douetteau,https://www.crunchbase.com/person/florian-douetteau,14896483.251906065,8959952386167609151,True,Male,white,0.003086219,0.03565898,0.03480784,0.9264469
3135,3338, Jeff Merkel,https://www.crunchbase.com/person/jeff-merkel,14896483.251906065,4219909963369945635,True,Male,white,0.0013838996,0.01700891,0.011171146,0.97043604
3136,3339, Laura Hale,https://www.crunchbase.com/person/laura-hale-2,14896483.251906065,4181970422168305875,True,Female,white,0.0066623488,0.066310294,0.023122372,0.903905
3137,3340, Jack Dubie,https://www.crunchbase.com/person/jack-dubie,14896483.251906065,8492878549413863783,True,Male,white,0.00982948,0.11358645,0.013145905,0.86343825
3138,3341, Marc Batty,https://www.crunchbase.com/person/marc-batty,14896483.251906065,5091825438192992772,True,Male,white,0.002836766,0.07517404,0.028770521,0.8932187
3139,3342, Thomas Cabrol,https://www.crunchbase.com/person/thomas-cabrol,14896483.251906065,5760958933649335664,True,Male,white,0.0056663128,0.07988142,0.047151685,0.8673006
3140,3343, Julie Yoo,https://www.crunchbase.com/person/julie-j-yoo,14883095.825455213,887100828628359875,True,Female,white,0.15159683,0.06011374,0.010810675,0.7774787
3141,3344, Frida E. Polli,https://www.crunchbase.com/person/frida-e-polli,14883095.825455213,4537210512871347423,True,Female,white,0.016087787,0.016406082,0.1745662,0.7929399
3142,3345, Scott Harris,https://www.crunchbase.com/person/scott-harris-9,14873973.765860705,6138381465139012501,True,Male,white,0.002258031,0.095472604,0.013388059,0.8888813
3143,3346, Scott Davido,https://www.crunchbase.com/person/scott-davido,14873973.765860705,6149779547486352149,True,Male,white,0.019659309,0.02907347,0.039614864,0.9116523
